code,name,steaming,roasting,microwaving,grilling,frying,boiling,steaming_explanation,roasting_explanation,microwaving_explanation,grilling_explanation,frying_explanation,boiling_explanation
vitb,Vitamin B,0.880,0.850,0.900,0.750,0.800,0.700,"Aggregate value of B-complex; steam retains most of it, depending on form.","Averaged across all B-complex vitamins; losses from heat sensitivity (e.g., B1, B9) balanced by stability of others (e.g., B2, B3).",Composite; water-soluble group retained well with short cook times.,Aggregate of B-complex; varies but average loss ~25%,Group average for water-soluble B-vitamins,Averaged group retention for B1–B9 based on boiling data
vitd,Vitamin D,1.000,0.950,1.000,0.900,0.900,0.900,Fat-soluble and retained completely under moist heat.,Includes D2/D3; generally heat-stable under roasting conditions.,Fat-soluble; eggs retained 109% in some tests.,Fat-soluble and stable in meats and fish,Fat-soluble; modest thermal stability,Fat-soluble; retained during boiling
vitk,Vitamin K,0.925,0.900,0.900,0.900,0.850,0.950,Can increase due to matrix softening.,Includes K1/K2; moderately stable under dry heat.,Varies by vegetable; leafy greens showed 91% retention.,Fat-soluble; stable under grilling in animal products,Average of K1/K2; slightly degraded under frying,Fat-soluble; well-retained
tocph,Tocopherols,0.950,0.950,0.900,0.800,0.800,0.900,"α- and γ-Tocopherols retained in spinach, broccoli; heat-stable.","Averaged across all tocopherols (E family); alpha most sensitive, others more stable.",Vitamin E group; may degrade slightly with longer cooking.,Alpha- and beta-tocopherols moderately heat-sensitive,Oxidized readily during deep-frying,Includes α–δ forms; average from boiling range
toctr,Tocotrienols,1.000,0.950,0.900,0.750,0.850,0.900,Retained in steamed grains/oils; no leaching.,Tocotrienols are slightly more sensitive than tocopherols; modest degradation.,Vitamin E analogs; similar retention to tocopherols.,Less stable than tocopherols; prone to heat breakdown,Slightly more stable than tocopherols,Similar structure to tocopherols; similar stability
amiace,Essential Amino acids,0.988,0.950,0.975,0.930,0.950,0.850,All essential AAs almost fully retained in steaming.,Averaged essential amino acid retention; stable under roasting.,"Stable; includes lysine, leucine, etc.",Average of individual EAAs; stable under moderate grilling,Overall stable; minor losses due to browning,Averaged from individual EAAs above
amiacce,Conditionally essential Amino acids,0.988,0.950,0.975,0.900,0.950,0.850,Same as above; stable under moist heat.,"Conditionally essential AAs (e.g., arg, cys, glu) well retained.","Includes arginine, cysteine; stable under microwave heat.",Estimated slightly less stable than EAAs,Similar retention as essential AA,Same retention as other amino acids
amiacne,Non-essential Amino acids,0.988,0.950,0.975,0.920,0.950,0.850,Stable in all steaming studies reviewed.,"Non-essential AAs (e.g., gly, ala, ser) are stable in roasting.","Includes glycine, serine; stable during microwave exposure.",Heat-stable on average,Stable under frying,Heat-stable group
amiac,Amino acids,0.988,0.950,0.975,0.920,0.950,0.850,All amino acids assumed almost fully retained.,Total amino acids largely retained; degradation mostly related to extreme heat.,Aggregate amino acids; denaturation without destruction.,Aggregate across all types,Group average; heat-resistant in general,Overall group value based on all amino acids
orgac,Organic acids,0.950,0.900,0.900,0.830,0.900,0.850,"Citric, malic, succinic acids retained with minor variation.",Includes various organic acids; roasting induces minor volatility or transformation.,"Includes citric, malic, succinic acids; partial leaching/oxidation possible.","Varies widely; average from malic, citric, etc.",Some breakdown from high heat,Averaged from various organic acids above
fauns,Unsaturated Fatty acids,1.000,0.950,0.950,0.850,0.850,0.850,No breakdown under steam; stable under 100°C.,Averaged across mono- and polyunsaturated fats; minor oxidation risk.,Stable under short exposure; may oxidize if overheated.,Mixed MUFA+PUFA; moderately sensitive to oxidation,Group prone to oxidation during frying,Stable; includes MUFA and PUFA
faess,Essential Fatty acids,1.000,0.900,0.950,0.780,0.800,0.800,"Linoleic, alpha-linolenic, EPA/DHA retained fully.",Includes essential PUFAs; slight losses due to oxidation.,Includes omega-3/6; short cook time preserves these well.,Includes omega-3 and omega-6; prone to heat degradation,Highly reactive PUFAs degrade at high temperatures,Includes omega-3 and 6; moderate sensitivity
facn3,Cis ω-3 Fatty acids,1.000,0.900,0.950,0.750,0.750,0.800,Highly retained in steamed seafood and oils.,Omega-3 PUFAs; prone to degradation under high heat.,Sensitive to oxidation; microwave heating keeps loss low.,"Very heat-sensitive (DHA, EPA)",Extremely oxidation-sensitive,Heat-sensitive; boiling reduces slightly
facn6,Cis ω-6 Fatty acids,1.000,0.900,0.950,0.800,0.800,0.850,Stable under steaming; no significant degradation.,Same as above; linoleic acid moderately sensitive.,Stable under microwave use; slight loss possible.,Moderately heat-sensitive; e.g. linoleic acid,Moderate thermal sensitivity,More stable than ω-3; typical retention
facn9,Cis ω-9 Fatty acids,1.000,0.950,0.975,0.880,0.900,0.850,Monounsaturated fats like oleic are steam-stable.,Includes oleic acid; generally retained under roasting.,Stable MUFA group; unaffected by microwaving.,Includes oleic acid; more stable,More stable than ω-3/6,Includes oleic acid; stable
facn5,Cis ω-5 Fatty acids,1.000,0.950,0.950,0.800,0.850,0.850,Assumed stable like other unsaturated fats.,"Less common; grouped under unsaturated fats, assumed stable.",Very rare; assumed similar retention to other cis fats.,Less common; estimated like ω-6,Estimated moderate sensitivity,Assumed similar to other cis fatty acids
facn7,Cis ω-7 Fatty acids,1.000,0.950,0.950,0.850,0.900,0.850,Steaming does not degrade these.,Similar behavior to ω-9; moderate heat stability.,Same as ω-5; no data shows degradation in microwave.,Moderate thermal stability,More stable than PUFAs; modest degradation,Assumed same as ω-9 in boiling
facis,Cis Fatty acids,1.000,0.950,0.950,0.830,0.900,0.850,All cis-unsaturated fats are stable.,Averaged cis-fatty acid retention; roasting doesn't cause isomerization.,Aggregate of omega-fatty acids; microwave heat does not cause isomerization.,Average for all cis-unsaturated fats,Average of cis-unsaturated group,Averaged value for all cis isomers
fatrn,Trans Fatty acids,1.000,0.900,1.000,0.880,0.900,0.850,"If present, unchanged by steam cooking.",Trans fats are minor components but degrade faster than cis-fatty acids.,No formation or degradation reported in microwave-treated food.,Stable under heat but may form during high-heat processing,Stable under heat but may increase from oil hydrogenation,Structurally stable; not destroyed by boiling
olsac,Oligosaccharides,0.900,0.900,0.950,0.850,0.900,0.850,Slight reduction possible in legumes.,Oligosaccharides slightly reduced under roasting; resistant to mild heat.,Heat-stable; no loss in dry/short microwave cooking.,Degraded somewhat under dry high heat,Stable with minimal degradation,Grouped value; assumed similar to stachyose etc.
phystr,Phytosterols,1.000,0.850,0.950,0.880,0.850,0.950,Stable and not water-soluble; fully retained.,Includes all phytosterols; some decline due to oxidation and temperature.,Stable plant compounds; no loss under normal microwave use.,"Generally stable across campesterol, stigmasterol, etc.",Minor oxidative loss during deep-frying,Fat-like plant sterols; boiling has minimal effect
mnrleq,Essential Quantity Minerals,1.000,0.950,0.975,0.950,1.000,0.950,"Calcium, potassium, phosphorus—all retained.",Macro minerals retained well; moisture loss may increase apparent concentration.,"Includes Ca, P, Mg; retained due to low water.",Mostly heat-stable; loss only from drippings,Macrominerals unaffected by frying,"Averaged from Ca, Mg, P, etc.; high retention"
mnrlet,Essential Trace Minerals,1.000,0.950,0.975,0.930,0.980,0.900,"Iron, zinc, copper fully retained under steaming.",Trace minerals are heat-stable under roasting.,"Includes Zn, Se, Fe; retained well in microwave cooking.","Stable under grilling; e.g., iron, zinc",Stable elements with minor handling loss,"Averaged from Fe, Zn, Cu, etc."
mnrlpet,Possibly essential Trace Minerals,1.000,0.950,0.975,0.900,0.980,0.900,"Elements like molybdenum, nickel are retained.",Assumed similar to essential trace minerals.,"Includes Co, Ni, Mo; assumed stable.",Stable but small nutrient pool may vary more,Same as essential trace minerals,Assumed same retention as essential trace minerals
mnrlnet,Non-essential Trace Minerals,1.000,0.950,1.000,0.900,0.980,1.000,No steam-driven loss assumed.,No known sensitivity to roasting.,"No heat-related loss; includes Li, Cd, Pb.",Similar to above; stable but loosely bound,No degradation; stable during frying,Not affected by heat
mnrltx,Toxic Minerals,1.000,0.950,1.000,0.880,0.980,1.000,"Lead, mercury, cadmium are stable; assumed fully retained.",Toxic minerals not degraded under roasting; generally stable.,"No evidence of breakdown or transformation (e.g., Hg, As).","Some volatilize slightly (e.g., Hg, Pb), but most remain",Heavy metals not affected by frying,Stable and chemically unaffected
carot,Carotenes,1.075,0.850,1.050,0.830,0.880,0.900,Often concentrated in steam (e.g. β-carotene in chard).,Averaged carotene content; some isomerization or degradation possible.,"Includes α-, β-, γ-carotene; enhanced bioavailability after microwaving.",Fat-soluble pigments; moderately degraded,Group average for all carotenoids,"Averaged β-, α-, γ-carotenes"
xantp,Xanthophylls,1.075,0.900,1.050,0.830,0.850,0.900,Fat-soluble and enhanced post-steaming.,Xanthophylls are moderately stable; lutein/zeaxanthin retained well in nuts.,Lutein and zeaxanthin class; availability increased.,Similar to carotenes; degraded at high temp,Sensitive to heat and oxidation,Includes lutein and zeaxanthin; fat-soluble and stable
cartbeq,β-Carotene equivalents,1.075,0.850,1.050,0.830,0.880,0.900,Beta-carotene + alpha-carotene values often rise slightly post-steam.,"β-Carotene equivalents decline moderately with heat, but bioavailability increases.",Includes all pro-vitamin A carotenoids; retained and enhanced.,"Average from α-, β-carotene, lutein, etc.",Derived value based on mixed carotenoid stability,Averaged retention of provitamin A carotenes
vita,Vitamin A,0.975,0.850,0.950,0.850,0.850,0.900,Fat-soluble; retained unless oxidized under long heat (not in steam).,Vitamin A includes retinol and carotenoids; overall moderately retained.,Includes retinol and carotene forms; stable to microwave cooking.,Fat-soluble retinoids; moderately retained,Fat-soluble; moderate degradation during frying,Fat-soluble; well-retained
vit,Vitamins,0.905,0.850,0.950,0.800,0.800,0.850,Average across all; reflects combined water- and fat-soluble behavior in steam.,Averaged across all vitamins; water-soluble lost more than fat-soluble.,"Aggregate estimate based on majority of B, C, D, E, K; high retention in microwaving.",Global estimate across all vitamins; varies widely by class,Average across all vitamins; many are heat-sensitive,"Averaged composite of all vitamins (C, B, A, D, E, K)"
